id,title,genre,language,release_date,budget,revenue,rating,vote_count,director,dir_gender,dir_popularity,certification,runtime,movie_popularity
12,Finding Nemo,Animation,en,5/30/03,94000000,940335536,7.823,17538,Andrew Stanton,Male,8.978,G,100,99.379
16,Dancer in the Dark,Drama,en,6/30/00,12800000,40031879,7.887,1540,Lars von Trier,Male,7.701,R,141,13.607
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,en,7/9/03,140000000,655011224,7.783,18613,Gore Verbinski,Male,3.037,PG-13,143,135.81
24,Kill Bill: Vol. 1,Action,en,10/10/03,30000000,180906076,7.972,15654,Quentin Tarantino,Male,14.692,R,111,37.727
25,Jarhead,Drama,en,11/4/05,72000000,97076152,6.611,2505,Sam Mendes,Male,8.82,R,123,19.534
35,The Simpsons Movie,Animation,en,7/25/07,75000000,527068851,6.994,7196,David Silverman,Male,2.16,PG-13,87,75.136
38,Eternal Sunshine of the Spotless Mind,Science Fiction,en,3/19/04,20000000,72258126,8.1,13252,Michel Gondry,Male,4.751,R,108,38.465
55,Amores Perros,Drama,es,6/16/00,2000000,20908467,7.623,2232,Alejandro González Iñárritu,Male,4.735,R,154,20.336
58,Pirates of the Caribbean: Dead Man's Chest,Adventure,en,7/6/06,200000000,1065659812,7.338,14394,Gore Verbinski,Male,3.037,PG-13,151,121.433
59,A History of Violence,Drama,en,9/23/05,32000000,60740827,7.18,2788,David Cronenberg,Male,13.633,R,96,15.772
64,Talk to Her,Drama,es,3/15/02,0,64803131,7.599,1105,Pedro Almodóvar,Male,4.119,R,112,14.133
65,8 Mile,Drama,en,11/8/02,41000000,242875078,7.126,6432,Curtis Hanson,Male,1.4,R,111,32.476
69,Walk the Line,Drama,en,9/13/05,28000000,186797986,7.495,2529,James Mangold,Male,16.848,PG-13,136,19.776
70,Million Dollar Baby,Drama,en,12/15/04,30000000,216763646,7.962,8576,Clint Eastwood,Male,35.481,NOT AVAIL,132,23.892
71,Billy Elliot,Drama,en,9/28/00,5000000,109280263,7.59,3449,Stephen Daldry,Male,4.526,PG-13,110,20.307
74,War of the Worlds,Adventure,en,6/28/05,132000000,603873119,6.493,7434,Steven Spielberg,Male,31.059,PG-13,117,36.579
77,Memento,Mystery,en,10/11/00,9000000,39723096,8.19,13198,Christopher Nolan,Male,14.387,R,113,26.52
